class_id,class_name,clean_accuracy,robust_acc_eps0.005,drop_eps0.005,robust_acc_eps0.01,drop_eps0.01,robust_acc_eps0.02,drop_eps0.02,robust_acc_eps0.04,drop_eps0.04,collapse_rate,max_drop
37,emu,1.0,0.14285714285714285,0.8571428571428572,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
97,wild_cat,1.0,0.2,0.8,0.2,0.8,0.2,0.8,0.0,1.0,1.0,1.0
52,inline_skate,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
99,wrench,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
45,gramophone,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
95,water_lilly,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
29,crocodile_head,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
89,strawberry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
27,crayfish,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,1.0,0.9230769230769231
6,anchor,1.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888
47,hawksbill,1.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888
51,ibis,0.875,0.0,0.875,0.0,0.875,0.0,0.875,0.0,0.875,1.0,0.875
54,kangaroo,1.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.8571428571428572
81,scorpion,1.0,0.38461538461538464,0.6153846153846154,0.3076923076923077,0.6923076923076923,0.23076923076923078,0.7692307692307692,0.15384615384615385,0.8461538461538461,0.8461538461538461,0.8461538461538461
28,crocodile,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,1.0,0.8333333333333334
11,binocular,1.0,0.6,0.4,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
31,dalmatian,1.0,0.6,0.4,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
96,wheelchair,1.0,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
87,stegosaurus,0.8,0.4,0.4,0.0,0.8,0.0,0.8,0.0,0.8,1.0,0.8
78,saxophone,1.0,0.4,0.6,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
44,gerenuk,0.75,0.25,0.5,0.25,0.5,0.0,0.75,0.0,0.75,1.0,0.75
21,cellphone,1.0,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.75
61,mandolin,1.0,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.75
77,rooster,1.0,0.75,0.25,0.75,0.25,0.5,0.5,0.25,0.75,0.75,0.75
7,ant,0.75,0.125,0.625,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75
8,barrel,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143
85,stapler,1.0,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143
75,revolver,1.0,0.4,0.6,0.4,0.6,0.3,0.7,0.3,0.7,0.7,0.7
79,schooner,0.7,0.1,0.6,0.1,0.6,0.0,0.7,0.0,0.7,1.0,0.7
34,dragonfly,1.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
43,garfield,1.0,0.8888888888888888,0.11111111111111116,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
69,pagoda,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
48,headphone,1.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
58,llama,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
49,hedgehog,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
62,mayfly,1.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
16,butterfly,1.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
17,camera,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.5,0.5,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
41,flamingo,1.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
59,lobster,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666
9,bass,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666
24,cougar_body,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666
50,helicopter,1.0,0.5,0.5,0.4375,0.5625,0.375,0.625,0.375,0.625,0.625,0.625
74,pyramid,1.0,0.7,0.30000000000000004,0.5,0.5,0.2,0.8,0.4,0.6,0.6,0.6
82,sea_horse,1.0,0.6,0.4,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.6
36,elephant,1.0,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.6
12,bonsai,1.0,0.6666666666666666,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.4166666666666667,0.5833333333333333,0.5833333333333333,0.5833333333333333
76,rhino,1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
2,Leopards,1.0,0.8095238095238095,0.19047619047619047,0.5714285714285714,0.4285714285714286,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
93,umbrella,1.0,0.5714285714285714,0.4285714285714286,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
40,ferry,1.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556
92,trilobite,1.0,0.8181818181818182,0.18181818181818177,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454
33,dolphin,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.5454545454545454
30,cup,0.8333333333333334,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666667,0.5
73,platypus,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5
46,grand_piano,1.0,0.5625,0.4375,0.4375,0.5625,0.4375,0.5625,0.5,0.5,0.5,0.5
4,accordion,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
67,octopus,0.5,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5
80,scissors,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
64,metronome,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
32,dollar_bill,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.5,0.5,0.5,0.5
22,chair,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,brontosaurus,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5
55,ketch,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.49999999999999994,0.35714285714285715,0.49999999999999994,0.35714285714285715,0.49999999999999994,0.6428571428571428,0.49999999999999994
5,airplanes,1.0,0.6363636363636364,0.36363636363636365,0.5757575757575758,0.4242424242424242,0.5454545454545454,0.4545454545454546,0.5151515151515151,0.48484848484848486,0.48484848484848486,0.48484848484848486
23,chandelier,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444
56,lamp,0.7142857142857143,0.2857142857142857,0.4285714285714286,0.2857142857142857,0.4285714285714286,0.2857142857142857,0.4285714285714286,0.2857142857142857,0.4285714285714286,0.7142857142857143,0.4285714285714286
35,electric_guitar,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,1.0,0.42857142857142855
10,beaver,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855
39,ewer,1.0,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.41666666666666663,0.41666666666666663
90,sunflower,1.0,0.9166666666666666,0.08333333333333337,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.41666666666666663,0.41666666666666663
71,pigeon,1.0,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.4,0.4
25,cougar_face,1.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.6,0.4,0.6,0.4,0.4,0.4
60,lotus,0.7,0.4,0.29999999999999993,0.4,0.29999999999999993,0.3,0.39999999999999997,0.3,0.39999999999999997,0.7,0.39999999999999997
94,watch,0.9285714285714286,0.7142857142857143,0.2142857142857143,0.6785714285714286,0.25,0.6071428571428571,0.3214285714285715,0.5357142857142857,0.3928571428571429,0.4642857142857143,0.3928571428571429
0,Faces,0.9375,0.84375,0.09375,0.71875,0.21875,0.53125,0.40625,0.5625,0.375,0.4375,0.375
65,minaret,1.0,0.75,0.25,0.625,0.375,0.625,0.375,0.625,0.375,0.375,0.375
42,flamingo_head,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
66,nautilus,1.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
83,snoopy,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
91,tick,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
70,panda,1.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
3,Motorbikes,1.0,0.8666666666666667,0.1333333333333333,0.7866666666666666,0.21333333333333337,0.7333333333333333,0.2666666666666667,0.6933333333333334,0.30666666666666664,0.30666666666666664,0.30666666666666664
13,brain,1.0,0.7,0.30000000000000004,0.7,0.30000000000000004,0.6,0.4,0.7,0.30000000000000004,0.30000000000000004,0.30000000000000004
53,joshua_tree,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.42857142857142855,0.28571428571428575,0.42857142857142855,0.28571428571428575,0.42857142857142855,0.28571428571428575,0.5714285714285714,0.28571428571428575
72,pizza,0.8571428571428571,0.7142857142857143,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.4285714285714286,0.2857142857142857
98,windsor_chair,1.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857
63,menorah,1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25
84,soccer_ball,0.875,0.75,0.125,0.625,0.25,0.625,0.25,0.625,0.25,0.375,0.25
86,starfish,1.0,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.11111111111111116,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222
15,buddha,1.0,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222
18,cannon,0.8,0.6,0.20000000000000007,0.6,0.20000000000000007,0.6,0.20000000000000007,0.6,0.20000000000000007,0.4,0.20000000000000007
26,crab,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2
19,car_side,1.0,1.0,0.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996
38,euphonium,1.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.16666666666666663,0.16666666666666663
1,Faces_easy,0.9555555555555556,0.9333333333333333,0.022222222222222254,0.8444444444444444,0.11111111111111116,0.8,0.15555555555555556,0.8222222222222222,0.13333333333333341,0.1777777777777778,0.13333333333333341
88,stop_sign,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
20,ceiling_fan,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57,laptop,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
68,okapi,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100,yin_yang,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
