class_id,class_name,clean_accuracy,robust_acc_eps0.005,drop_eps0.005,robust_acc_eps0.01,drop_eps0.01,robust_acc_eps0.02,drop_eps0.02,robust_acc_eps0.04,drop_eps0.04,collapse_rate,max_drop
66,nautilus,1.0,0.6666666666666666,0.33333333333333337,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0
52,inline_skate,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
83,snoopy,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,1.0
41,flamingo,1.0,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,1.0,1.0,1.0
31,dalmatian,1.0,0.6,0.4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
42,flamingo_head,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,1.0
89,strawberry,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
91,tick,1.0,1.0,0.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,1.0,1.0,1.0
25,cougar_face,1.0,0.8,0.19999999999999996,0.2,0.8,0.0,1.0,0.0,1.0,1.0,1.0
47,hawksbill,1.0,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.0,1.0,0.0,1.0,1.0,1.0
23,chandelier,1.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,1.0,1.0,1.0
22,chair,1.0,0.25,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
20,ceiling_fan,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
48,headphone,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
95,water_lilly,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
76,rhino,1.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.8571428571428572,0.0,1.0,1.0,1.0
77,rooster,1.0,0.5,0.5,0.25,0.75,0.0,1.0,0.0,1.0,1.0,1.0
2,Leopards,1.0,0.7619047619047619,0.23809523809523814,0.42857142857142855,0.5714285714285714,0.19047619047619047,0.8095238095238095,0.0,1.0,1.0,1.0
71,pigeon,1.0,0.8,0.19999999999999996,0.6,0.4,0.2,0.8,0.0,1.0,1.0,1.0
99,wrench,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
62,mayfly,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
54,kangaroo,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
9,bass,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
37,emu,1.0,0.5714285714285714,0.4285714285714286,0.14285714285714285,0.8571428571428572,0.0,1.0,0.0,1.0,1.0,1.0
11,binocular,1.0,0.6,0.4,0.4,0.6,0.2,0.8,0.0,1.0,1.0,1.0
78,saxophone,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
27,crayfish,0.9230769230769231,0.15384615384615385,0.7692307692307693,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,1.0,0.9230769230769231
43,garfield,1.0,0.8888888888888888,0.11111111111111116,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888
51,ibis,0.875,0.125,0.75,0.0,0.875,0.0,0.875,0.0,0.875,1.0,0.875
93,umbrella,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.8571428571428572
72,pizza,1.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.8571428571428572
85,stapler,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.14285714285714285,0.7142857142857142,0.0,0.8571428571428571,0.0,0.8571428571428571,1.0,0.8571428571428571
53,joshua_tree,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857142,0.0,0.8571428571428571,1.0,0.8571428571428571
5,airplanes,1.0,0.8636363636363636,0.13636363636363635,0.5303030303030303,0.4696969696969697,0.2878787878787879,0.7121212121212122,0.15151515151515152,0.8484848484848485,0.8484848484848485,0.8484848484848485
12,bonsai,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
33,dolphin,0.9090909090909091,0.2727272727272727,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.8181818181818181,0.9090909090909091,0.8181818181818181
92,trilobite,1.0,0.8181818181818182,0.18181818181818177,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.8181818181818181,0.8181818181818181,0.8181818181818181
19,car_side,1.0,0.9,0.09999999999999998,0.7,0.30000000000000004,0.3,0.7,0.2,0.8,0.8,0.8
97,wild_cat,0.8,0.2,0.6000000000000001,0.0,0.8,0.0,0.8,0.0,0.8,1.0,0.8
82,sea_horse,0.8,0.2,0.6000000000000001,0.0,0.8,0.0,0.8,0.0,0.8,1.0,0.8
13,brain,1.0,0.8,0.19999999999999996,0.4,0.6,0.2,0.8,0.2,0.8,0.8,0.8
79,schooner,0.8,0.2,0.6000000000000001,0.1,0.7000000000000001,0.0,0.8,0.0,0.8,1.0,0.8
96,wheelchair,1.0,0.4,0.6,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
87,stegosaurus,0.8,0.4,0.4,0.0,0.8,0.0,0.8,0.0,0.8,1.0,0.8
94,watch,0.9285714285714286,0.6428571428571429,0.2857142857142857,0.5,0.4285714285714286,0.2857142857142857,0.6428571428571429,0.14285714285714285,0.7857142857142858,0.8571428571428572,0.7857142857142858
15,buddha,1.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666667,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778
16,butterfly,1.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778
1,Faces_easy,0.9555555555555556,0.9111111111111111,0.04444444444444451,0.37777777777777777,0.5777777777777778,0.06666666666666667,0.888888888888889,0.17777777777777778,0.7777777777777778,0.8222222222222222,0.7777777777777778
86,starfish,1.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666667,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778
6,anchor,0.8888888888888888,0.1111111111111111,0.7777777777777777,0.1111111111111111,0.7777777777777777,0.1111111111111111,0.7777777777777777,0.1111111111111111,0.7777777777777777,0.8888888888888888,0.7777777777777777
3,Motorbikes,1.0,0.9066666666666666,0.09333333333333338,0.68,0.31999999999999995,0.30666666666666664,0.6933333333333334,0.22666666666666666,0.7733333333333333,0.7733333333333333,0.7733333333333333
81,scorpion,0.9230769230769231,0.3076923076923077,0.6153846153846154,0.15384615384615385,0.7692307692307693,0.15384615384615385,0.7692307692307693,0.15384615384615385,0.7692307692307693,0.8461538461538461,0.7692307692307693
50,helicopter,1.0,0.5625,0.4375,0.3125,0.6875,0.25,0.75,0.25,0.75,0.75,0.75
61,mandolin,1.0,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.75
45,gramophone,0.75,0.25,0.5,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75
44,gerenuk,0.75,0.25,0.5,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75
10,beaver,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.14285714285714285,0.7142857142857142,0.0,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.8571428571428572,0.7142857142857142
8,barrel,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.14285714285714285,0.7142857142857142,0.0,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.8571428571428572,0.7142857142857142
74,pyramid,1.0,0.6,0.4,0.3,0.7,0.2,0.8,0.3,0.7,0.7,0.7
46,grand_piano,0.9375,0.5,0.4375,0.5,0.4375,0.375,0.5625,0.25,0.6875,0.75,0.6875
70,panda,1.0,0.8333333333333334,0.16666666666666663,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
49,hedgehog,1.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
40,ferry,1.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
32,dollar_bill,1.0,0.5,0.5,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
30,cup,1.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667
58,llama,0.8333333333333334,0.5,0.33333333333333337,0.16666666666666666,0.6666666666666667,0.16666666666666666,0.6666666666666667,0.16666666666666666,0.6666666666666667,0.8333333333333334,0.6666666666666667
28,crocodile,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666
0,Faces,0.96875,0.875,0.09375,0.71875,0.25,0.4375,0.53125,0.3125,0.65625,0.6875,0.65625
55,ketch,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.21428571428571427,0.6428571428571428,0.21428571428571427,0.6428571428571428,0.7857142857142857,0.6428571428571428
75,revolver,1.0,0.6,0.4,0.5,0.5,0.4,0.6,0.4,0.6,0.6,0.6
90,sunflower,1.0,0.8333333333333334,0.16666666666666663,0.5833333333333334,0.41666666666666663,0.4166666666666667,0.5833333333333333,0.4166666666666667,0.5833333333333333,0.5833333333333333,0.5833333333333333
39,ewer,1.0,0.6666666666666666,0.33333333333333337,0.5,0.5,0.5,0.5,0.4166666666666667,0.5833333333333333,0.5833333333333333,0.5833333333333333
35,electric_guitar,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.5714285714285714,1.0,0.5714285714285714
56,lamp,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.14285714285714285,0.5714285714285714,0.0,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.8571428571428572,0.5714285714285714
34,dragonfly,0.7777777777777778,0.4444444444444444,0.33333333333333337,0.3333333333333333,0.4444444444444445,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.5555555555555556
4,accordion,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
73,platypus,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5
29,crocodile_head,0.75,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.75,0.5
67,octopus,0.5,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5
14,brontosaurus,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5
38,euphonium,1.0,1.0,0.0,0.6666666666666666,0.33333333333333337,0.5,0.5,0.5,0.5,0.5,0.5
65,minaret,1.0,0.875,0.125,0.625,0.375,0.5,0.5,0.5,0.5,0.5,0.5
64,metronome,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
80,scissors,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,cellphone,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
57,laptop,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
68,okapi,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60,lotus,0.7,0.3,0.39999999999999997,0.2,0.49999999999999994,0.2,0.49999999999999994,0.2,0.49999999999999994,0.8,0.49999999999999994
36,elephant,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4
18,cannon,0.8,0.6,0.20000000000000007,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4
7,ant,0.625,0.25,0.375,0.25,0.375,0.25,0.375,0.25,0.375,0.75,0.375
84,soccer_ball,1.0,0.625,0.375,0.625,0.375,0.625,0.375,0.625,0.375,0.375,0.375
17,camera,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.6666666666666666,0.16666666666666674,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337
69,pagoda,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337
24,cougar_body,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333
59,lobster,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333
98,windsor_chair,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.4285714285714286,0.2857142857142857
63,menorah,1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25
100,yin_yang,1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25
26,crab,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2
88,stop_sign,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
